iso_code,continent,location,date,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,population
OWID_ENG,Europe,England,2020-03-20,,,1580.0,27.94,,,,,,,,,,,,,,,,56550000
OWID_ENG,Europe,England,2020-03-21,,,2152.0,38.055,,,,,,,,,,,,,,,,56550000
OWID_ENG,Europe,England,2020-03-22,,,2670.0,47.215,,,,,,,,,,,,,,,,56550000
OWID_ENG,Europe,England,2020-03-23,,,3183.0,56.286,,,,,,,,,,,,,,,,56550000
OWID_ENG,Europe,England,2020-03-24,,,3598.0,63.625,,,,,,,,,,,,,,,,56550000
OWID_ENG,Europe,England,2020-03-25,,,4402.0,77.843,7340.0,129.797,,,,,,,,,,,,,,56550000
OWID_ENG,Europe,England,2020-03-26,,,5226.0,92.414,8393.0,148.417,,,,,,,,,,,,,,56550000
OWID_ENG,Europe,England,2020-03-27,,,6462.0,114.271,9633.0,170.345,,,,,,,,,,,,,,56550000
OWID_ENG,Europe,England,2020-03-28,,,7269.0,128.541,10729.0,189.726,,,,,,,,,,,,,,56550000
OWID_ENG,Europe,England,2020-03-29,,,8424.0,148.966,12056.0,213.192,,,,,,,,,,,,,,56550000
OWID_ENG,Europe,England,2020-03-30,,,9852.0,174.218,13745.0,243.059,,,,,,,,,,,,,,56550000
OWID_ENG,Europe,England,2020-03-31,,,11154.0,197.241,14648.0,259.027,,,,,,,,,,,,,,56550000
OWID_ENG,Europe,England,2020-04-01,,,12059.0,213.245,15992.0,282.794,,,,,,,,,,,,,,56550000
OWID_ENG,Europe,England,2020-04-02,1494.0,26.419,12135.0,214.589,17285.0,305.659,,,,,,,,,,,,,,56550000
OWID_ENG,Europe,England,2020-04-03,1788.0,31.618,13635.0,241.114,17918.0,316.852,,,,,,,,,,,,,,56550000
OWID_ENG,Europe,England,2020-04-04,1950.0,34.483,15469.0,273.546,18638.0,329.584,,,,,,,,,,,,,,56550000
OWID_ENG,Europe,England,2020-04-05,2097.0,37.082,16657.0,294.553,19044.0,336.764,,,,,,,,,,,,,,56550000
OWID_ENG,Europe,England,2020-04-06,2264.0,40.035,17154.0,303.342,18906.0,334.324,,,,,,,,,,,,,,56550000
OWID_ENG,Europe,England,2020-04-07,2472.0,43.714,17814.0,315.013,19203.0,339.576,,,,,,,,,,,,,,56550000
OWID_ENG,Europe,England,2020-04-08,2561.0,45.287,18152.0,320.99,18723.0,331.088,,,,,,,,,,,,,,56550000
