STATION,NAME,location,date,TAVG,TMAX,TMIN,average_c,max_c,min_c
UKM00003772,"HEATHROW, UK",London,01/07/2021,63,N/A,54,17.2,#VALUE!,12.2
UKM00003772,"HEATHROW, UK",London,02/07/2021,66,N/A,N/A,18.9,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,03/07/2021,65,N/A,N/A,18.3,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,04/07/2021,62,N/A,N/A,16.7,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,05/07/2021,61,N/A,57,16.1,#VALUE!,13.9
UKM00003772,"HEATHROW, UK",London,06/07/2021,59,N/A,N/A,15,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,07/07/2021,62,N/A,56,16.7,#VALUE!,13.3
UKM00003772,"HEATHROW, UK",London,08/07/2021,63,N/A,N/A,17.2,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,09/07/2021,65,N/A,N/A,18.3,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,10/07/2021,60,N/A,56,15.6,#VALUE!,13.3
UKM00003772,"HEATHROW, UK",London,11/07/2021,62,N/A,53,16.7,#VALUE!,11.7
UKM00003772,"HEATHROW, UK",London,12/07/2021,62,N/A,57,16.7,#VALUE!,13.9
UKM00003772,"HEATHROW, UK",London,13/07/2021,65,N/A,59,18.3,#VALUE!,15
UKM00003772,"HEATHROW, UK",London,14/07/2021,68,N/A,59,20,#VALUE!,15
UKM00003772,"HEATHROW, UK",London,15/07/2021,65,N/A,N/A,18.3,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,16/07/2021,67,N/A,52,19.4,#VALUE!,11.1
UKM00003772,"HEATHROW, UK",London,17/07/2021,71,N/A,N/A,21.7,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,18/07/2021,76,N/A,61,24.4,#VALUE!,16.1
UKM00003772,"HEATHROW, UK",London,19/07/2021,76,N/A,65,24.4,#VALUE!,18.3
UKM00003772,"HEATHROW, UK",London,20/07/2021,75,N/A,64,23.9,#VALUE!,17.8
UKM00003772,"HEATHROW, UK",London,21/07/2021,75,N/A,64,23.9,#VALUE!,17.8
UKM00003772,"HEATHROW, UK",London,22/07/2021,73,N/A,N/A,22.8,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,23/07/2021,67,N/A,N/A,19.4,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,24/07/2021,65,N/A,N/A,18.3,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,25/07/2021,65,N/A,62,18.3,#VALUE!,16.7
UKM00003772,"HEATHROW, UK",London,26/07/2021,68,N/A,60,20,#VALUE!,15.6
UKM00003772,"HEATHROW, UK",London,27/07/2021,66,N/A,N/A,18.9,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,28/07/2021,62,N/A,N/A,16.7,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,29/07/2021,63,N/A,54,17.2,#VALUE!,12.2
UKM00003772,"HEATHROW, UK",London,30/07/2021,61,N/A,N/A,16.1,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,31/07/2021,61,N/A,55,16.1,#VALUE!,12.8
UKM00003772,"HEATHROW, UK",London,01/08/2021,62,N/A,N/A,16.7,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,02/08/2021,61,N/A,55,16.1,#VALUE!,12.8
UKM00003772,"HEATHROW, UK",London,03/08/2021,61,N/A,51,16.1,#VALUE!,10.6
UKM00003772,"HEATHROW, UK",London,04/08/2021,63,N/A,53,17.2,#VALUE!,11.7
UKM00003772,"HEATHROW, UK",London,05/08/2021,62,N/A,55,16.7,#VALUE!,12.8
UKM00003772,"HEATHROW, UK",London,06/08/2021,63,N/A,N/A,17.2,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,07/08/2021,61,N/A,N/A,16.1,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,08/08/2021,61,N/A,56,16.1,#VALUE!,13.3
UKM00003772,"HEATHROW, UK",London,09/08/2021,61,N/A,55,16.1,#VALUE!,12.8
UKM00003772,"HEATHROW, UK",London,10/08/2021,64,N/A,54,17.8,#VALUE!,12.2
UKM00003772,"HEATHROW, UK",London,11/08/2021,65,76,55,18.3,24.4,12.8
UKM00003772,"HEATHROW, UK",London,12/08/2021,65,N/A,N/A,18.3,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,13/08/2021,64,N/A,56,17.8,#VALUE!,13.3
UKM00003772,"HEATHROW, UK",London,14/08/2021,66,N/A,58,18.9,#VALUE!,14.4
UKM00003772,"HEATHROW, UK",London,15/08/2021,65,N/A,57,18.3,#VALUE!,13.9
UKM00003772,"HEATHROW, UK",London,16/08/2021,61,N/A,N/A,16.1,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,17/08/2021,60,N/A,53,15.6,#VALUE!,11.7
UKM00003772,"HEATHROW, UK",London,18/08/2021,65,N/A,60,18.3,#VALUE!,15.6
UKM00003772,"HEATHROW, UK",London,19/08/2021,63,N/A,57,17.2,#VALUE!,13.9
UKM00003772,"HEATHROW, UK",London,20/08/2021,63,N/A,56,17.2,#VALUE!,13.3
UKM00003772,"HEATHROW, UK",London,21/08/2021,64,N/A,60,17.8,#VALUE!,15.6
UKM00003772,"HEATHROW, UK",London,22/08/2021,65,N/A,N/A,18.3,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,23/08/2021,63,N/A,N/A,17.2,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,24/08/2021,63,N/A,54,17.2,#VALUE!,12.2
UKM00003772,"HEATHROW, UK",London,25/08/2021,63,N/A,N/A,17.2,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,26/08/2021,62,N/A,N/A,16.7,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,27/08/2021,60,N/A,N/A,15.6,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,28/08/2021,61,N/A,52,16.1,#VALUE!,11.1
UKM00003772,"HEATHROW, UK",London,29/08/2021,59,N/A,51,15,#VALUE!,10.6
UKM00003772,"HEATHROW, UK",London,30/08/2021,60,N/A,57,15.6,#VALUE!,13.9
UKM00003772,"HEATHROW, UK",London,31/08/2021,60,N/A,57,15.6,#VALUE!,13.9
UKM00003772,"HEATHROW, UK",London,01/09/2021,61,N/A,57,16.1,#VALUE!,13.9
UKM00003772,"HEATHROW, UK",London,02/09/2021,62,N/A,N/A,16.7,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,03/09/2021,63,N/A,56,17.2,#VALUE!,13.3
UKM00003772,"HEATHROW, UK",London,04/09/2021,62,N/A,54,16.7,#VALUE!,12.2
UKM00003772,"HEATHROW, UK",London,05/09/2021,66,N/A,N/A,18.9,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,06/09/2021,69,N/A,N/A,20.6,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,07/09/2021,72,N/A,60,22.2,#VALUE!,15.6
UKM00003772,"HEATHROW, UK",London,08/09/2021,72,N/A,60,22.2,#VALUE!,15.6
UKM00003772,"HEATHROW, UK",London,09/09/2021,66,N/A,62,18.9,#VALUE!,16.7
UKM00003772,"HEATHROW, UK",London,10/09/2021,65,N/A,62,18.3,#VALUE!,16.7
UKM00003772,"HEATHROW, UK",London,11/09/2021,65,N/A,N/A,18.3,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,12/09/2021,62,N/A,54,16.7,#VALUE!,12.2
UKM00003772,"HEATHROW, UK",London,13/09/2021,63,N/A,N/A,17.2,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,14/09/2021,63,N/A,60,17.2,#VALUE!,15.6
UKM00003772,"HEATHROW, UK",London,15/09/2021,63,N/A,N/A,17.2,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,16/09/2021,61,75,52,16.1,23.9,11.1
UKM00003772,"HEATHROW, UK",London,17/09/2021,62,72,N/A,16.7,22.2,#VALUE!
UKM00003772,"HEATHROW, UK",London,18/09/2021,65,77,54,18.3,25,12.2
UKM00003772,"HEATHROW, UK",London,19/09/2021,60,65,N/A,15.6,18.3,#VALUE!
UKM00003772,"HEATHROW, UK",London,20/09/2021,60,69,N/A,15.6,20.6,#VALUE!
UKM00003772,"HEATHROW, UK",London,21/09/2021,60,72,50,15.6,22.2,10
UKM00003772,"HEATHROW, UK",London,22/09/2021,59,73,N/A,15,22.8,#VALUE!
UKM00003772,"HEATHROW, UK",London,23/09/2021,61,N/A,N/A,16.1,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,24/09/2021,63,N/A,N/A,17.2,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,25/09/2021,62,N/A,N/A,16.7,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,26/09/2021,62,N/A,N/A,16.7,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,27/09/2021,61,N/A,N/A,16.1,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,28/09/2021,56,N/A,N/A,13.3,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,29/09/2021,53,62,N/A,11.7,16.7,#VALUE!
UKM00003772,"HEATHROW, UK",London,30/09/2021,55,62,N/A,12.8,16.7,#VALUE!
UKM00003772,"HEATHROW, UK",London,01/10/2021,58,65,N/A,14.4,18.3,#VALUE!
UKM00003772,"HEATHROW, UK",London,02/10/2021,53,N/A,45,11.7,#VALUE!,7.2
UKM00003772,"HEATHROW, UK",London,03/10/2021,54,N/A,N/A,12.2,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,04/10/2021,55,N/A,N/A,12.8,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,05/10/2021,55,N/A,N/A,12.8,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,06/10/2021,55,N/A,N/A,12.8,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,07/10/2021,59,N/A,53,15,#VALUE!,11.7
UKM00003772,"HEATHROW, UK",London,08/10/2021,59,N/A,N/A,15,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,09/10/2021,54,66,46,12.2,18.9,7.8
UKM00003772,"HEATHROW, UK",London,10/10/2021,56,66,47,13.3,18.9,8.3
UKM00003772,"HEATHROW, UK",London,11/10/2021,52,61,46,11.1,16.1,7.8
UKM00003772,"HEATHROW, UK",London,12/10/2021,53,62,44,11.7,16.7,6.7
UKM00003772,"HEATHROW, UK",London,13/10/2021,54,61,45,12.2,16.1,7.2
UKM00003772,"HEATHROW, UK",London,14/10/2021,57,67,49,13.9,19.4,9.4
UKM00003772,"HEATHROW, UK",London,15/10/2021,55,59,N/A,12.8,15,#VALUE!
UKM00003772,"HEATHROW, UK",London,16/10/2021,53,64,N/A,11.7,17.8,#VALUE!
UKM00003772,"HEATHROW, UK",London,17/10/2021,54,64,48,12.2,17.8,8.9
UKM00003772,"HEATHROW, UK",London,18/10/2021,56,63,45,13.3,17.2,7.2
UKM00003772,"HEATHROW, UK",London,19/10/2021,64,70,60,17.8,21.1,15.6
UKM00003772,"HEATHROW, UK",London,20/10/2021,59,66,N/A,15,18.9,#VALUE!
UKM00003772,"HEATHROW, UK",London,21/10/2021,49,54,N/A,9.4,12.2,#VALUE!
