PUBLICATION,EXTRACT_DATE,TYPE,SUB_ICB_LOCATION_CODE,ONS_SUB_ICB_LOCATION_CODE,CODE,POSTCODE,SEX,AGE,NUMBER_OF_PATIENTS,sub_icb_location_code,sub_icb_location_name,icb_location_name,icb_ons_code,region_name
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84002,NE65 7UW,ALL,ALL,6005,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84005,NE22 6JX,ALL,ALL,12096,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84006,NE66 2NL,ALL,ALL,18927,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84007,NE20 9SD,ALL,ALL,10681,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84008,NE70 7ER,ALL,ALL,4494,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84009,NE24 1HD,ALL,ALL,26791,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84011,NE20 9SD,ALL,ALL,8105,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84013,NE22 7DU,ALL,ALL,6289,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84014,NE24 1DX,ALL,ALL,12845,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84016,NE42 5PW,ALL,ALL,6929,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84018,NE45 5LG,ALL,ALL,7114,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84020,NE62 5RA,ALL,ALL,8058,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84022,NE65 9SF,ALL,ALL,11938,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84024,NE46 1QJ,ALL,ALL,10210,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84025,NE23 6QN,ALL,ALL,5026,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84026,TD15 1LL,ALL,ALL,8883,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84027,NE48 2HE,ALL,ALL,3394,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84028,NE63 0NG,ALL,ALL,18876,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84029,NE61 5LX,ALL,ALL,4466,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84030,NE23 6US,ALL,ALL,9843,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84031,NE61 1JX,ALL,ALL,10223,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84033,NE46 1QJ,ALL,ALL,5816,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84034,NE49 9AP,ALL,ALL,5600,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84035,NE42 5DQ,ALL,ALL,6028,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84036,NE61 1BJ,ALL,ALL,51845,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84037,NE23 7EF,ALL,ALL,6013,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84038,NE23 6QN,ALL,ALL,7268,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84039,NE61 1JX,ALL,ALL,6102,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84040,NE46 4BU,ALL,ALL,3656,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84042,NE61 4EG,ALL,ALL,2080,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84044,TD15 2HB,ALL,ALL,7227,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84045,NE47 6LA,ALL,ALL,5405,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84047,NE43 7LL,ALL,ALL,5378,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84604,NE71 6BL,ALL,ALL,4696,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84614,NE42 5HR,ALL,ALL,1971,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00L,E38000130,A84619,NE25 0BW,ALL,ALL,3954,00L,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00N,E38000163,A88001,NE31 1NU,ALL,ALL,3637,00N,NHS North East and North Cumbria ICB - 00N,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00N,E38000163,A88002,NE33 4QY,ALL,ALL,17224,00N,NHS North East and North Cumbria ICB - 00N,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00N,E38000163,A88003,NE34 6RE,ALL,ALL,14064,00N,NHS North East and North Cumbria ICB - 00N,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00N,E38000163,A88004,NE32 5SE,ALL,ALL,9235,00N,NHS North East and North Cumbria ICB - 00N,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00N,E38000163,A88005,NE34 9BP,ALL,ALL,4514,00N,NHS North East and North Cumbria ICB - 00N,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00N,E38000163,A88006,NE34 0BX,ALL,ALL,7965,00N,NHS North East and North Cumbria ICB - 00N,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00N,E38000163,A88007,NE33 4DX,ALL,ALL,7808,00N,NHS North East and North Cumbria ICB - 00N,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00N,E38000163,A88008,NE33 5DU,ALL,ALL,6553,00N,NHS North East and North Cumbria ICB - 00N,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00N,E38000163,A88009,NE35 9AN,ALL,ALL,6330,00N,NHS North East and North Cumbria ICB - 00N,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00N,E38000163,A88010,NE32 5AG,ALL,ALL,3033,00N,NHS North East and North Cumbria ICB - 00N,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00N,E38000163,A88012,NE31 2SP,ALL,ALL,6318,00N,NHS North East and North Cumbria ICB - 00N,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00N,E38000163,A88013,NE34 8PS,ALL,ALL,19251,00N,NHS North East and North Cumbria ICB - 00N,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00N,E38000163,A88014,NE33 4JP,ALL,ALL,2823,00N,NHS North East and North Cumbria ICB - 00N,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00N,E38000163,A88015,NE33 5DU,ALL,ALL,7079,00N,NHS North East and North Cumbria ICB - 00N,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00N,E38000163,A88016,NE35 9AN,ALL,ALL,8240,00N,NHS North East and North Cumbria ICB - 00N,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00N,E38000163,A88022,NE31 1NU,ALL,ALL,10786,00N,NHS North East and North Cumbria ICB - 00N,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00N,E38000163,A88023,SR6 7EE,ALL,ALL,5323,00N,NHS North East and North Cumbria ICB - 00N,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00N,E38000163,A88025,NE32 3UX,ALL,ALL,4711,00N,NHS North East and North Cumbria ICB - 00N,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00N,E38000163,A88601,NE33 4EG,ALL,ALL,4144,00N,NHS North East and North Cumbria ICB - 00N,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00N,E38000163,A88608,NE33 3ET,ALL,ALL,5820,00N,NHS North East and North Cumbria ICB - 00N,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00N,E38000163,A88613,NE32 3UX,ALL,ALL,4105,00N,NHS North East and North Cumbria ICB - 00N,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00P,E38000176,A89001,SR2 8AD,ALL,ALL,13376,00P,NHS North East and North Cumbria ICB - 00P,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
GP_PRAC_PAT_LIST,01-Aug-22,GP,00P,E38000176,A89002,SR1 2HJ,ALL,ALL,6924,00P,NHS North East and North Cumbria ICB - 00P,NHS North East and North Cumbria ICB,E54000050,North East and Yorkshire
